price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
530000,4,4,1351,47.05,151.40208,-33.47252,7093,29432,3
525000,4,2,594,78.54,151.55237,-33.21772,2538,24752,3
480000,4,2,468,63.59,151.44557,-33.32678,2028,31668,3
452000,3,1,344,40.12,150.83957,-34.05375,9835,32292,3
550000,3,1,626,47.05,151.40208,-33.47252,7093,29432,3
535000,3,1,556,43.91,151.39045,-33.49914,2545,36764,3
495000,3,1,582,40.12,150.83957,-34.05375,9835,32292,3
410000,3,1,493,74.11,151.54324,-33.25799,4550,25844,3
890000,4,2,715,22.31,151.00632,-33.97301,6160,40560,3
533000,4,3,695,39.53,150.80361,-33.75572,5973,24180,3
1120500,4,2,904,20.61,151.01474,-33.77572,7965,40092,3
675000,3,3,263,20.43,150.99309,-33.90028,9069,24388,10
500000,3,1,791,47.05,151.40208,-33.47252,7093,29432,3
473000,3,1,581,40.12,150.83957,-34.05375,9835,32292,3
625000,4,2,555,63.59,151.44557,-33.32678,2028,31668,3
520000,3,1,651,40.12,150.83957,-34.05375,9835,32292,3
570000,3,1,828,59.15,150.61119,-33.67971,6202,38740,3
555000,4,2,748,43.91,151.39045,-33.49914,2545,36764,3
540000,3,1,623,47.05,151.40208,-33.47252,7093,29432,3
272500,1,1,122,65.14,151.50775,-33.33333,1474,31148,0
2300000,5,3,556,9.6,151.10677,-33.85608,14533,39052,3
940000,4,2,560,31.04,150.91377,-33.73411,3798,47060,3
695000,3,1,550,28.94,150.89843,-33.84214,6127,25688,3
670000,4,2,556,49.98,151.43598,-33.45608,2200,45084,3
557000,3,2,556,43.91,151.39045,-33.49914,2545,36764,3
558000,4,2,771,63.59,151.44557,-33.32678,2028,31668,3
550000,3,1,618,47.05,151.40208,-33.47252,7093,29432,3
2015000,4,2,581,9.6,151.10677,-33.85608,14533,39052,3
936000,3,1,710,20.61,151.01474,-33.77572,7965,40092,3
712000,3,1,758,20.43,150.99309,-33.90028,9069,24388,3
646000,1,1,601,49.98,151.43598,-33.45608,2200,45084,3
1180000,4,3,720,20.61,151.01474,-33.77572,7965,40092,3
1930000,4,3,506,8.77,151.1169,-33.88062,10612,34996,3
1670000,4,2,800,19.05,151.27318,-33.70172,4357,44460,3
1600000,4,1,177,5.31,151.15595,-33.88143,14625,56784,3
850000,4,3,695,63.59,151.44557,-33.32678,2028,31668,3
580000,3,1,601,53.4,151.33681,-33.39553,7934,34632,3
1280000,3,2,335,9.6,151.10677,-33.85608,14533,39052,7
930000,4,2,1080,24.09,150.95058,-33.88495,10216,20592,3
710000,3,1,638,20.43,150.99309,-33.90028,9069,24388,3
553000,3,1,771,43.91,151.39045,-33.49914,2545,36764,3
1180000,4,2,735,20.61,151.01474,-33.77572,7965,40092,3
905000,4,2,278,22.21,150.99524,-33.95493,12419,34216,2
750000,4,2,290,20.43,150.99309,-33.90028,9069,24388,2
580000,3,2,1764,43.91,151.39045,-33.49914,2545,36764,3
1325000,5,2,739,20.61,151.01474,-33.77572,7965,40092,3
1130000,3,1,948,17.06,151.03151,-33.82647,3806,39624,3
1100000,3,1,975,22.31,151.00632,-33.97301,6160,40560,3
977000,2,1,170,5.99,151.1556,-33.89452,8116,52884,3
2300000,4,2,134,1.9,151.19845,-33.87941,8845,20072,3
1500000,4,2,177,5.31,151.15595,-33.88143,14625,56784,3
1400000,3,2,394,8.77,151.1169,-33.88062,10612,34996,3
1265000,3,1,220,5.31,151.15595,-33.88143,14625,56784,3
510000,5,2,1037,53.4,151.33681,-33.39553,7934,34632,3
1720000,4,1,512,9.6,151.10677,-33.85608,14533,39052,3
1340000,2,1,273,9.9,151.10412,-33.87838,16030,24856,3
1300000,4,3,696,28.35,151.32686,-33.62899,9905,43628,3
1180000,3,2,335,7.32,151.21145,-33.93108,6912,25740,3
1110000,3,1,620,22.31,151.00632,-33.97301,6160,40560,3
875000,3,2,556,22.21,150.99524,-33.95493,12419,34216,3
865000,3,1,556,22.21,150.99524,-33.95493,12419,34216,3
862000,4,2,355,22.21,150.99524,-33.95493,12419,34216,7
520000,3,1,602,47.05,151.40208,-33.47252,7093,29432,3
495000,3,1,626,60.03,151.4607,-33.36629,7216,30108,3
730000,4,2,624,47.05,151.40208,-33.47252,7093,29432,3
715000,5,3,732,43.91,151.39045,-33.49914,2545,36764,3
453000,3,2,330,60.03,151.4607,-33.36629,7216,30108,3
2100000,4,1,417,5.35,151.15424,-33.85205,11950,60840,3
1985000,3,1,112,0.8,151.20425,-33.85966,1482,79300,3
1780000,3,1,111,0.8,151.20425,-33.85966,1482,79300,3
1415000,2,1,272,6.33,151.14202,-33.85841,5001,47684,3
545000,4,1,601,53.4,151.33681,-33.39553,7934,34632,3
1230000,3,2,266,9.35,151.18371,-33.9466,14772,41912,3
915000,5,2,619,30.17,150.88392,-33.86202,14585,25012,3
619000,2,2,171,22.21,150.99524,-33.95493,12419,34216,11
450000,3,1,588,63.59,151.44557,-33.32678,2028,31668,3
1800000,3,2,348,5.31,151.15595,-33.88143,14625,56784,3
1550000,3,1,961,20.05,151.15407,-33.69054,4257,42484,3
1465000,4,2,853,18.35,151.06372,-33.75342,9396,47112,3
1280000,2,1,303,6.12,151.14375,-33.86584,1376,44876,3
1160000,3,1,186,5.31,151.15595,-33.88143,14625,56784,3
1085000,2,1,209,5.31,151.15595,-33.88143,14625,56784,3
