price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,days_since_sale
530000,Kincumber,4,4,2,1351,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3207
525000,Halekulani,2,4,2,594,House,2538,24752,1.397,-33.21772,151.55237,23,2.0,150.9,78.54,3207
480000,Chittaway Bay,2,4,2,468,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3207
452000,Leumeah,1,3,1,344,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3207
550000,Kincumber,1,3,1,626,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3205
535000,Bensville,1,3,1,556,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3205
495000,Leumeah,1,3,2,582,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3205
410000,Toukley,1,3,3,493,House,4550,25844,3.683,-33.25799,151.54324,4,2.0,150.9,74.11,3205
890000,Picnic Point,2,4,3,715,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,3202
533000,Whalan,3,4,2,695,House,5973,24180,2.429,-33.75572,150.80361,37,2.0,150.9,39.53,3202
1120500,North Rocks,2,4,2,904,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3201
675000,Bass Hill,3,3,2,263,Townhouse,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3201
500000,Kincumber,1,3,1,791,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3201
473000,Leumeah,1,3,3,581,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3201
625000,Chittaway Bay,2,4,2,555,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3200
520000,Leumeah,1,3,1,651,House,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3200
570000,Winmalee,1,3,2,828,House,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,3199
555000,Bensville,2,4,0,748,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3199
540000,Kincumber,1,3,2,623,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3198
272500,The Entrance North,1,1,1,122,Apartment / Unit / Flat,1474,31148,1.018,-33.33333,151.50775,0,2.0,150.9,65.14,3198
2300000,Concord,3,5,2,556,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3195
940000,Acacia Gardens,2,4,2,560,House,3798,47060,1.001,-33.73411,150.91377,88,2.0,150.9,31.04,3195
695000,Wetherill Park,1,3,2,550,House,6127,25688,11.214,-33.84214,150.89843,43,2.0,150.9,28.94,3195
670000,North Avoca,2,4,2,556,House,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,3193
557000,Bensville,2,3,2,556,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3193
558000,Chittaway Bay,2,4,3,771,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3192
550000,Kincumber,1,3,1,618,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3192
2015000,Concord,2,4,2,581,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3191
936000,North Rocks,1,3,1,710,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3191
712000,Bass Hill,1,3,3,758,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3190
646000,North Avoca,1,1,2,601,House,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,3190
1180000,North Rocks,3,4,2,720,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3189
1930000,Croydon,3,4,4,506,House,10612,34996,2.435,-33.88062,151.1169,28,2.0,150.9,8.77,3176
1670000,Elanora Heights,2,4,2,800,House,4357,44460,3.877,-33.70172,151.27318,105,2.0,150.9,19.05,3176
1600000,Leichhardt,1,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3176
850000,Chittaway Bay,3,4,4,695,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3176
580000,Narara,1,3,1,601,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,3176
1280000,Concord,2,3,2,335,Semi-Detached,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3174
930000,Canley Vale,2,4,3,1080,House,10216,20592,2.887,-33.88495,150.95058,11,2.0,150.9,24.09,3174
710000,Bass Hill,1,3,2,638,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3174
553000,Bensville,1,3,1,771,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3174
1180000,North Rocks,2,4,2,735,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3173
905000,Panania,2,4,1,278,Duplex,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3173
750000,Bass Hill,2,4,2,290,Duplex,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3173
580000,Bensville,2,3,1,1764,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3173
1325000,North Rocks,2,5,2,739,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3172
1130000,Rosehill,1,3,0,948,House,3806,39624,3.67,-33.82647,151.03151,4,2.0,150.9,17.06,3172
1100000,Picnic Point,1,3,4,975,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,3172
977000,Petersham,1,2,0,170,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,150.9,5.99,3172
2300000,Ultimo,2,4,0,134,House,8845,20072,0.559,-33.87941,151.19845,23,2.0,150.9,1.9,3171
1500000,Leichhardt,2,4,0,177,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3171
1400000,Croydon,2,3,3,394,House,10612,34996,2.435,-33.88062,151.1169,28,2.0,150.9,8.77,3170
1265000,Leichhardt,1,3,0,220,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3170
510000,Narara,2,5,2,1037,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,3170
1720000,Concord,1,4,2,512,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3169
1340000,Burwood,1,2,2,273,House,16030,24856,2.435,-33.87838,151.10412,33,2.0,150.9,9.9,3169
1300000,Avalon Beach,3,4,2,696,House,9905,43628,5.131,-33.62899,151.32686,46,2.0,150.9,28.35,3169
1180000,Eastlakes,2,3,3,335,House,6912,25740,2.003,-33.93108,151.21145,18,2.0,150.9,7.32,3169
1110000,Picnic Point,1,3,1,620,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,3169
875000,Panania,2,3,1,556,House,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3169
865000,Panania,1,3,2,556,House,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3169
862000,Panania,2,4,2,355,Semi-Detached,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3167
520000,Kincumber,1,3,1,602,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3166
495000,Killarney Vale,1,3,1,626,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3166
730000,Kincumber,2,4,2,624,House,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3165
715000,Bensville,3,5,2,732,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3165
453000,Killarney Vale,2,3,1,330,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3165
2100000,Drummoyne,1,4,1,417,House,11950,60840,2.31,-33.85205,151.15424,31,2.0,150.9,5.35,3164
1985000,Millers Point,1,3,0,112,House,1482,79300,0.251,-33.85966,151.20425,35,2.0,150.9,0.8,3164
1780000,Millers Point,1,3,0,111,House,1482,79300,0.251,-33.85966,151.20425,35,2.0,150.9,0.8,3164
1415000,Russell Lea,1,2,0,272,House,5001,47684,1.02,-33.85841,151.14202,20,2.0,150.9,6.33,3164
545000,Narara,1,4,1,601,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,3164
1230000,Mascot,2,3,2,266,House,14772,41912,11.961,-33.9466,151.18371,3,2.0,150.9,9.35,3163
915000,Bossley Park,2,5,2,619,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,150.9,30.17,3163
619000,Panania,2,2,1,171,Villa,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,3163
450000,Chittaway Bay,1,3,4,588,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3163
1800000,Leichhardt,2,3,1,348,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3162
1550000,North Turramurra,1,3,2,961,House,4257,42484,11.614,-33.69054,151.15407,169,2.0,150.9,20.05,3162
1465000,Beecroft,2,4,1,853,House,9396,47112,5.117,-33.75342,151.06372,130,2.0,150.9,18.35,3162
1280000,Rodd Point,1,2,1,303,House,1376,44876,0.374,-33.86584,151.14375,10,2.0,150.9,6.12,3162
1160000,Leichhardt,1,3,0,186,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3162
1085000,Leichhardt,1,2,1,209,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3162
1000000,Ermington,2,6,3,822,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,150.9,15.0,3162
925000,Leichhardt,1,2,0,139,House,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3162
820000,Padstow Heights,1,3,2,588,House,3540,34268,1.931,-33.97042,151.03352,51,2.0,150.9,20.06,3162
761000,Padstow Heights,2,3,1,551,House,3540,34268,1.931,-33.97042,151.03352,51,2.0,150.9,20.06,3162
1650000,Concord,1,2,1,531,House,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3160
1543000,Russell Lea,1,3,1,411,House,5001,47684,1.02,-33.85841,151.14202,20,2.0,150.9,6.33,3160
1100000,Alexandria,1,2,1,112,House,8262,69732,3.516,-33.9082,151.19191,9,2.0,150.9,5.06,3160
755000,Zetland,1,1,1,59,Apartment / Unit / Flat,10078,45604,0.805,-33.90769,151.2083,23,2.0,150.9,4.72,3160
500000,Killarney Vale,1,3,0,696,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,150.9,60.03,3160
850000,Revesby,1,4,1,313,Semi-Detached,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3147
478000,Killarney Vale,2,4,2,556,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3147
700000,Macmasters Beach,2,3,1,980,House,1294,37440,5.879,-33.49756,151.40816,46,2.0,155.2,44.72,3146
540000,Chittaway Bay,2,3,3,522,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3146
950000,Como,1,3,2,588,House,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3144
785000,Rosehill,1,3,2,481,House,3806,39624,3.67,-33.82647,151.03151,4,2.0,155.2,17.06,3144
660000,Macmasters Beach,3,2,2,917,House,1294,37440,5.879,-33.49756,151.40816,46,2.0,155.2,44.72,3144
487000,Narara,1,3,1,493,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3144
1620000,Birchgrove,1,3,1,200,House,3303,78780,0.586,-33.85093,151.18309,24,2.0,155.2,2.94,3143
790000,Bass Hill,1,4,2,556,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,155.2,20.43,3143
450000,Narara,1,3,1,639,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3143
2890000,Northbridge,2,5,3,903,House,6347,60060,2.728,-33.8112,151.2183,87,2.0,155.2,6.03,3142
1960000,East Killara,3,5,2,834,House,2978,38428,3.19,-33.75738,151.18183,78,2.0,155.2,12.23,3142
1800000,Alexandria,2,3,2,145,House,8262,69732,3.516,-33.9082,151.19191,9,2.0,155.2,5.06,3142
580000,Woodcroft,2,3,1,200,Semi-Detached,6440,40768,1.693,-33.75523,150.88065,38,2.0,155.2,32.83,3142
2418000,Bondi Junction,2,3,0,205,House,9445,54964,1.079,-33.89296,151.2503,89,2.0,155.2,4.85,3141
2113000,West Pymble,2,4,4,850,House,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3141
2055000,Avalon Beach,3,5,2,718,House,9905,43628,5.131,-33.62899,151.32686,46,2.0,155.2,28.35,3141
2050000,La Perouse,2,3,2,667,House,399,33124,1.755,-33.99151,151.24014,50,2.0,155.2,14.29,3141
1930000,Russell Lea,2,3,2,369,House,5001,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,3141
1740000,Croydon,2,4,2,468,House,10612,34996,2.435,-33.88062,151.1169,28,2.0,155.2,8.77,3141
1500000,Russell Lea,1,2,2,334,House,5001,47684,1.02,-33.85841,151.14202,20,2.0,155.2,6.33,3141
1435500,Eastlakes,1,3,3,468,House,6912,25740,2.003,-33.93108,151.21145,18,2.0,155.2,7.32,3141
1390000,Croydon,1,3,1,701,House,10612,34996,2.435,-33.88062,151.1169,28,2.0,155.2,8.77,3141
1219000,Mascot,2,3,1,251,House,14772,41912,11.961,-33.9466,151.18371,3,2.0,155.2,9.35,3141
629000,Blackwall,2,3,2,306,House,1888,31148,1.143,-33.50518,151.33518,80,2.0,155.2,41.58,3141
1365000,Petersham,1,3,2,279,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3140
2650000,Putney,2,4,2,674,House,4107,44876,1.508,-33.8268,151.10602,35,2.0,155.2,10.51,3139
1150000,Ermington,3,4,2,524,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3139
925000,Picnic Point,3,5,2,350,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,155.2,22.31,3139
739950,Narellan Vale,2,4,2,700,House,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3139
1045000,Padstow Heights,2,4,3,522,House,3540,34268,1.931,-33.97042,151.03352,51,2.0,155.2,20.06,3138
920000,Bass Hill,2,6,3,556,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,155.2,20.43,3138
446000,Chittaway Bay,2,4,1,614,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3138
935000,Revesby,1,3,1,790,House,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3137
867000,Revesby,2,4,2,575,House,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3137
689000,Revesby,2,3,1,220,Townhouse,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3137
660000,Empire Bay,2,3,2,632,House,2400,32604,3.974,-33.5035,151.36918,5,2.0,155.2,42.74,3137
587500,Narellan Vale,2,3,2,544,House,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3137
745000,Ermington,1,4,0,720,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3136
730000,Petersham,2,3,1,118,Apartment / Unit / Flat,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3136
457000,Killarney Vale,2,3,1,311,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3136
820000,Bossley Park,2,4,2,591,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3134
1570000,West Pymble,1,3,0,1416,House,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3131
1225000,Ermington,1,3,2,936,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3131
740000,Bensville,2,4,2,533,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,155.2,43.91,3131
708000,Bossley Park,2,3,2,586,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3131
675000,Canley Vale,1,3,1,556,House,10216,20592,2.887,-33.88495,150.95058,11,2.0,155.2,24.09,3131
400000,Killarney Vale,1,2,1,506,House,7216,30108,3.018,-33.36629,151.4607,8,2.0,155.2,60.03,3131
950000,Pennant Hills,2,3,2,466,House,7287,43472,6.123,-33.73636,151.07741,168,2.0,155.2,18.83,3130
900000,Alexandria,1,2,1,603,Apartment / Unit / Flat,8262,69732,3.516,-33.9082,151.19191,9,2.0,155.2,5.06,3130
795000,Woodcroft,2,4,4,431,House,6440,40768,1.693,-33.75523,150.88065,38,2.0,155.2,32.83,3130
655000,Narellan Vale,2,4,2,701,House,7193,40352,2.481,-34.05177,150.74372,98,2.0,155.2,47.8,3130
545000,East Gosford,1,3,0,1024,House,4238,31252,2.079,-33.43514,151.35463,15,2.0,155.2,49.55,3129
2250000,Carss Park,4,5,2,737,House,1252,36816,0.63,-33.98679,151.11717,22,2.0,155.2,15.99,3116
875000,Oran Park,2,4,2,565,House,4765,50336,13.744,-33.99074,150.74247,81,2.0,155.2,45.41,3116
845000,Picnic Point,2,5,4,664,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,155.2,22.31,3116
650000,Kingswood,2,4,3,638,House,9301,33228,4.782,-33.76129,150.72784,42,2.0,155.2,46.09,3116
426000,Wyong,1,3,2,601,House,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3116
915000,Padstow Heights,3,3,2,300,Semi-Detached,3540,34268,1.931,-33.97042,151.03352,51,2.0,155.2,20.06,3115
795000,Chittaway Bay,3,4,2,663,House,2028,31668,1.116,-33.32678,151.44557,3,2.0,155.2,63.59,3115
525000,Narara,1,3,1,551,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3115
1420000,Ermington,3,4,2,432,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3114
1250000,Putney,2,3,1,336,House,4107,44876,1.508,-33.8268,151.10602,35,2.0,155.2,10.51,3114
495000,Wyong,2,4,2,702,House,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3114
469000,Wyong,2,3,2,660,House,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3114
1710000,Daceyville,2,4,2,562,House,1209,20800,0.488,-33.9289,151.22527,25,2.0,155.2,7.21,3113
766000,Revesby,1,3,1,556,House,14176,31616,5.608,-33.94767,151.01233,14,2.0,155.2,20.44,3113
1840000,Bondi Junction,1,3,0,264,House,9445,54964,1.079,-33.89296,151.2503,89,2.0,155.2,4.85,3112
1212000,West Pymble,1,2,1,835,House,5298,48672,3.684,-33.76365,151.12999,80,2.0,155.2,13.47,3111
518000,Bradbury,1,3,1,619,House,8800,31980,3.734,-34.08405,150.81805,126,2.0,155.2,43.6,3111
495000,Rosemeadow,1,3,1,648,House,7862,32864,2.976,-34.10624,150.79181,149,2.0,155.2,46.98,3111
1060000,Ermington,2,4,2,720,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3110
930000,Ermington,1,3,1,581,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3110
695000,Narara,3,4,2,512,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,155.2,53.4,3109
435000,Budgewoi,2,3,1,569,House,3360,29120,2.814,-33.23957,151.56058,3,2.0,155.2,76.65,3109
435000,Budgewoi,2,4,3,556,House,3360,29120,2.814,-33.23957,151.56058,3,2.0,155.2,76.65,3109
960000,Como,2,4,2,784,House,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3108
1400000,Petersham,2,3,3,247,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3107
1059000,Ermington,2,4,3,552,House,10737,33644,4.135,-33.8105,151.06162,40,2.0,155.2,15.0,3107
750000,Sefton,1,3,0,540,House,5808,24700,1.815,-33.88742,151.0104,39,2.0,155.2,18.62,3107
575000,Bensville,2,4,0,746,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,155.2,43.91,3107
375000,Wyong,1,2,1,465,House,4326,25480,11.434,-33.27889,151.43056,3,2.0,155.2,68.18,3107
2455000,Taren Point,2,4,2,915,House,1734,36296,1.359,-34.01833,151.12465,8,2.0,155.2,18.73,3106
2155000,Carss Park,2,4,2,605,House,1252,36816,0.63,-33.98679,151.11717,22,2.0,155.2,15.99,3106
1330000,Pennant Hills,2,3,1,929,House,7287,43472,6.123,-33.73636,151.07741,168,2.0,155.2,18.83,3106
910000,Rouse Hill,2,5,2,700,House,7965,45812,10.638,-33.67757,150.91278,45,2.0,155.2,34.5,3106
871000,Bossley Park,2,3,2,563,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3106
1820000,East Killara,2,4,2,835,House,2978,38428,3.19,-33.75738,151.18183,78,2.0,155.2,12.23,3103
1160000,Lewisham,1,3,1,242,House,3164,48204,0.642,-33.8953,151.14668,25,2.0,155.2,6.74,3103
1330000,Petersham,1,3,0,234,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3102
840000,Bossley Park,3,4,2,605,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3102
1865000,Homebush West,2,4,2,702,House,8609,35412,1.235,-33.86291,151.06711,22,2.0,155.2,13.21,3101
1080000,Rouse Hill,2,4,2,700,House,7965,45812,10.638,-33.67757,150.91278,45,2.0,155.2,34.5,3101
780000,Bossley Park,2,3,2,570,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3101
860000,Bossley Park,2,4,2,590,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3100
1580000,Petersham,2,3,1,237,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3099
1510000,Petersham,1,4,0,177,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,155.2,5.99,3099
988000,Como,1,2,2,575,House,3977,49296,1.598,-34.00258,151.0648,42,2.0,155.2,20.31,3099
985000,Bossley Park,3,4,2,600,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3099
735500,Bossley Park,2,4,1,585,House,14585,25012,4.536,-33.86202,150.88392,56,2.0,155.2,30.17,3099
1140000,Rouse Hill,3,5,2,700,House,7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,3086
746000,Narellan Vale,2,5,2,620,House,7193,40352,2.481,-34.05177,150.74372,98,1.77,155.2,47.8,3086
570000,South Penrith,1,3,2,633,House,11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,3086
522000,Bensville,1,3,3,751,House,2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,3086
500000,Wyong,2,3,2,848,House,4326,25480,11.434,-33.27889,151.43056,3,1.77,155.2,68.18,3086
397000,Budgewoi,1,3,1,332,House,3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,3086
1675000,Balgowlah Heights,1,3,1,417,House,3342,59228,1.684,-33.8077,151.26552,79,1.77,155.2,8.19,3085
1475000,West Pymble,1,2,2,850,House,5298,48672,3.684,-33.76365,151.12999,80,1.77,155.2,13.47,3085
756000,Edensor Park,2,3,2,572,House,9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,3085
597000,Petersham,1,1,1,61,Apartment / Unit / Flat,8116,52884,1.287,-33.89452,151.1556,41,1.77,155.2,5.99,3085
550000,Bradbury,2,3,2,696,House,8800,31980,3.734,-34.08405,150.81805,126,1.77,155.2,43.6,3084
1045000,Forresters Beach,3,4,2,664,House,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3083
1010000,Bondi,1,2,1,81,Apartment / Unit / Flat,10045,57356,0.865,-33.89314,151.26703,61,1.77,155.2,6.13,3083
851000,Como,1,2,1,629,House,3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,3083
790000,Oran Park,2,4,2,450,House,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3082
630000,South Penrith,2,4,2,629,House,11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,3082
500000,Budgewoi,2,4,2,563,House,3360,29120,2.814,-33.23957,151.56058,3,1.77,155.2,76.65,3082
390000,Wiley Park,1,2,1,88,Apartment / Unit / Flat,10126,23036,1.362,-33.9234,151.06765,39,1.77,155.2,14.66,3081
820000,Oran Park,2,4,2,540,House,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3080
1430000,Point Piper,1,2,1,90,Apartment / Unit / Flat,1424,88816,0.386,-33.86505,151.25332,11,1.77,155.2,4.02,3079
1254000,Como,1,3,2,638,House,3977,49296,1.598,-34.00258,151.0648,42,1.77,155.2,20.31,3079
785000,Forresters Beach,3,4,2,651,House,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3079
725000,Edensor Park,1,4,3,568,House,9772,25376,3.096,-33.87884,150.87759,56,1.77,155.2,30.78,3079
700000,Doonside,2,4,2,600,House,13451,27612,5.958,-33.76242,150.87007,44,1.77,155.2,33.46,3079
510000,Forresters Beach,1,2,1,721,House,2900,35932,2.768,-33.40857,151.46938,47,1.77,155.2,56.07,3079
1805000,Botany,3,5,2,413,House,10817,46800,3.211,-33.94907,151.19881,6,1.77,155.2,9.37,3078
1435000,Narraweena,2,3,1,556,House,6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,3078
675000,Oran Park,2,4,2,400,House,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3076
570000,Bensville,2,3,1,538,House,2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,3076
