price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,days_since_sale
530000,4,4,2,1351,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3184
525000,2,4,2,594,2538,24752,1.397,-33.21772,151.55237,23,2.0,150.9,78.54,3184
480000,2,4,2,468,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3184
452000,1,3,1,344,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3184
550000,1,3,1,626,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3182
535000,1,3,1,556,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3182
495000,1,3,2,582,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3182
410000,1,3,3,493,4550,25844,3.683,-33.25799,151.54324,4,2.0,150.9,74.11,3182
890000,2,4,3,715,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,3179
533000,3,4,2,695,5973,24180,2.429,-33.75572,150.80361,37,2.0,150.9,39.53,3179
1120500,2,4,2,904,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3178
675000,3,3,2,263,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3178
500000,1,3,1,791,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3178
473000,1,3,3,581,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3178
625000,2,4,2,555,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3177
520000,1,3,1,651,9835,32292,4.055,-34.05375,150.83957,81,2.0,150.9,40.12,3177
570000,1,3,2,828,6202,38740,9.058,-33.67971,150.61119,263,2.0,150.9,59.15,3176
555000,2,4,0,748,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3176
540000,1,3,2,623,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3175
272500,1,1,1,122,1474,31148,1.018,-33.33333,151.50775,0,2.0,150.9,65.14,3175
2300000,3,5,2,556,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3172
940000,2,4,2,560,3798,47060,1.001,-33.73411,150.91377,88,2.0,150.9,31.04,3172
695000,1,3,2,550,6127,25688,11.214,-33.84214,150.89843,43,2.0,150.9,28.94,3172
670000,2,4,2,556,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,3170
557000,2,3,2,556,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3170
558000,2,4,3,771,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3169
550000,1,3,1,618,7093,29432,9.914,-33.47252,151.40208,24,2.0,150.9,47.05,3169
2015000,2,4,2,581,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3168
936000,1,3,1,710,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3168
712000,1,3,3,758,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3167
646000,1,1,2,601,2200,45084,1.497,-33.45608,151.43598,18,2.0,150.9,49.98,3167
1180000,3,4,2,720,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3166
1930000,3,4,4,506,10612,34996,2.435,-33.88062,151.1169,28,2.0,150.9,8.77,3153
1670000,2,4,2,800,4357,44460,3.877,-33.70172,151.27318,105,2.0,150.9,19.05,3153
1600000,1,4,0,177,14625,56784,2.595,-33.88143,151.15595,31,2.0,150.9,5.31,3153
850000,3,4,4,695,2028,31668,1.116,-33.32678,151.44557,3,2.0,150.9,63.59,3153
580000,1,3,1,601,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,3153
1280000,2,3,2,335,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,3151
930000,2,4,3,1080,10216,20592,2.887,-33.88495,150.95058,11,2.0,150.9,24.09,3151
710000,1,3,2,638,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,3151
553000,1,3,1,771,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,3151
1180000,2,4,2,735,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,3150
